id,title,title_tr,created_at,updated_at,deleted
1,Afghanistan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
2,Albania,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
3,Algeria,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
4,Andorra,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
5,Angola,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
6,Antigua and Barbuda,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
7,Argentina,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
8,Armenia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
9,Aruba,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
10,Australia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
11,Austria,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
12,Azerbaijan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
13,Bahamas,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
14,Bahrain,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
15,Bangladesh,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
16,Barbados,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
17,Belarus,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
18,Belgium,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
19,Belize,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
20,Benin,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
21,Bhutan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
22,Bolivia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
23,Bosnia and Herzegovina,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
24,Botswana,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
25,Brazil,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
26,Brunei,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
27,Bulgaria,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
28,Burkina Faso,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
29,Burma (Myanmar),,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
30,Burundi,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
31,Cabo Verde,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
32,Cambodia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
33,Cameroon,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
34,Canada,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
35,Central African Republic,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
36,Chad,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
37,Chile,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
38,China,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
39,Colombia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
40,Comoros,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
41,Costa Rica,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
42,Cote d'Ivoire,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
43,Croatia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
44,Cuba,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
45,Cyprus,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
46,Czechia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
