id,title,title_tr,created_at,updated_at,deleted
1,Alawite,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
2,Arab,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
3,Armenian,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
4,Christian,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
5,Circassian,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
6,Druze,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
7,Ismaili,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
8,Kurd,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
9,Shiaa,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
10,Sunni,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
11,Syriac,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
12,Turkmen,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
13,Unknown,,2023-11-07 22:18:28.787259,2023-11-07 22:18:28.787259,f
